"Value","measuredItemChildCPC","measuredItemParentCPC","geographicAreaM49","measuredShare","timePointYearsSP"
0,"21330","01211","0","1","0"
0,"F0473","01215","0","1","0"
0,"21330","01215","0","1","0"
1,NA,"01234","0","1","0"
1,"21321","01234","0","1","0"
1,"21399.01","01234","0","1","0"
1,"21399.02","01234","0","1","0"
0,"21329","01234","0","1","0"
0,"F0472","01234","0","1","0"
0,NA,"01213","0","1","0"
0,"21340","01213","0","1","0"
0,"F0472","01213","0","1","0"
0,"F0473","01213","0","1","0"
0,"21330","01213","0","1","0"
0,NA,"01235","0","1","0"
0,"21340","01235","0","1","0"
0,"F0472","01235","0","1","0"
0,"F0473","01235","0","1","0"
0,"21330","01235","0","1","0"
0,NA,"01232","0","1","0"
0,"21340","01232","0","1","0"
0,"F0472","01232","0","1","0"
0,"21330","01232","0","1","0"
0,NA,"01233","0","1","0"
0,"21393.90","01233","0","1","0"
0,"21340","01233","0","1","0"
0,"F0472","01233","0","1","0"
0,"21330","01233","0","1","0"
0,NA,"01231","0","1","0"
0,"21340","01231","0","1","0"
0,"F0472","01231","0","1","0"
0,"21330","01231","0","1","0"
0,NA,"01253.01","0","1","0"
0,"21340","01253.01","0","1","0"
0,"F0472","01253.01","0","1","0"
0,"21330","01253.01","0","1","0"
0,"21393.90","01253.02","0","1","0"
0,"21340","01253.02","0","1","0"
0,"F0472","01253.02","0","1","0"
0,"F0473","01253.02","0","1","0"
0,"21330","01253.02","0","1","0"
0,"21393.90","01252","0","1","0"
0,NA,"01241.02","0","1","0"
0,"21340","01241.02","0","1","0"
0,"F0472","01241.02","0","1","0"
0,"F0473","01241.02","0","1","0"
0,"21330","01241.02","0","1","0"
0,NA,"01242","0","1","0"
0,"21340","01242","0","1","0"
0,"F0472","01242","0","1","0"
0,"F0473","01242","0","1","0"
0,"21330","01242","0","1","0"
0,NA,"01243","0","1","0"
0,"21340","01243","0","1","0"
0,"F0472","01243","0","1","0"
0,"F0473","01243","0","1","0"
0,"21330","01243","0","1","0"
0,NA,"01241.01","0","1","0"
0,"21340","01241.01","0","1","0"
0,"F0472","01241.01","0","1","0"
0,"F0473","01241.01","0","1","0"
0,"21330","01241.01","0","1","0"
0,NA,"01251","0","1","0"
0,NA,"01251","0","1","0"
0,"21329","01251","0","1","0"
0,"21393.90","01251","0","1","0"
0,"21340","01251","0","1","0"
0,"F0472","01251","0","1","0"
0,"21330","01251","0","1","0"
1,"21319.01","01290.01","0","1","0"
1,"21399.03","01290.01","0","1","0"
0,NA,"01290.01","0","1","0"
0,"F0473","01290.01","0","1","0"
0,"21330","01290.01","0","1","0"
1,"21393.01","01270","0","1","0"
1,"21397.01","01270","0","1","0"
0,"21340","01270","0","1","0"
0,"F0472","01270","0","1","0"
1,"23912.01","01691","0","1","0"
0,"24110","01356","0","1","0"
0,"2413","01356","0","1","0"
1,NA,"01290.90","0","1","0"
1,NA,"01290.90","0","1","0"
1,"21329","01290.90","0","1","0"
1,"21393.90","01290.90","0","1","0"
1,"21340","01290.90","0","1","0"
1,"F0472","01290.90","0","1","0"
1,"F0473","01290.90","0","1","0"
1,"21330","01290.90","0","1","0"
1,"F0475","01290.90","0","1","0"
1,"23991.02","01290.90","0","1","0"
0,"24230.03","01312","0","1","0"
0,"21419.90","01312","0","1","0"
0,"21419.05","01312","0","1","0"
0,"F0623","01312","0","1","0"
0,"23170.04","01312","0","1","0"
0,"2413","01312","0","1","0"
0,"24230.03","01313","0","1","0"
1,"21431.01","01323","0","1","0"
